name,code,department_names,year,lecturer,lecturer_reference
Introduction to Computers,CSM 183,"Sociology,Media And Communication Studies",1,Rev. Dr. Kwame Ofosuhene Peasah,1234567
Computer Appreciation,CSM 177,"Human Biology (Dentistry),Physician Assistantship",1,Rev. Dr. Kwame Ofosuhene Peasah,1234567
Database Concept and technologies II (A),CSM 297 (A),Computer Science (A),2,Rev. Dr. Kwame Ofosuhene Peasah,1234567
Database Concept and technologies II (B),CSM 297 (B),Computer Science (B),2,Rev. Dr. Kwame Ofosuhene Peasah,1234567
Introduction to Computers II,OPT 158,"Doctor Of Optometry",1,Rev. Dr. Kwame Ofosuhene Peasah,1234567
Programming With Visual Basic,CSM 287,Chemistry,2,Mr. Emmanuel Kwesi Baah,2085287
Introduction To Computers,CSM 183 (1),"Political Studies,French",1,Mr. Emmanuel Kwesi Baah,2085287
